Designator,Footprint,Quantity,Value,LCSC Part #
A1,868-915MHz_PCB_ANT,1,Antenna,
BT1,Li-Ion_Battery,1,Battery_Cell,
"C1, C17",0805,2,105,
"C10, C12, C14, C16, C2, C5, C6",0805,7,104,
"C11, C13, C15, C9",0805,4,106,
"C18, C19",0805,2,1p,
C20,0805,1,1.8pF,
C3,0805,1,223,
"C7, C8",0805,2,27p,
"D1, D2, D3",0805,3,~,
J1,SWD_DEBUG,1,~,
J2,SMA_COAX_RF_HEADER,1,~,
L1,0805,1,12nH,
QE1,SOT-23_Handsoldering,1,~,
R1,0805,1,10K,
"R2, R3",0805,2,501R,
R4,0805,1,100K,
SWE1,SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm,1,RESET,
U1,HOPERF_RFM9XW_SMD,1,~,
U2,STM32L051C8T6TR,1,~,
U3,SOT-23-5_HandSoldering,1,~,
U4,LM35,1,~,
Y1,1206,1,32.768KHz,
